nick,sig,date,text,forward,comment,like,topic
从宇宙黑洞飞出火凤凰,微博个人认证,2022-01-01,【国家卫生健康委通报最新疫情】12月31日0—24时，新增确诊病例231例。其中境外输入病例56例（广东11例，上海10例，天津9例，广西9例，福建4例，湖南4例，北京2例，四川2例，云南2例，辽宁1例，山东1例，陕西1例），含10例由无症状感染者转为确诊病例（湖南4例，广东3例，四川2例，广西1例）；本土病​,0,0,0,4
媒介360,微博官方认证,2022-01-01,【#19名西安大学生研发疫情防控小程序#】1月1日，陕西西安。19名西北工业大学学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序为封闭在校的学生带来了便利，希望更多高校的学生借此机​,0,0,4,33
石俊荣,未认证,2022-01-01,陕西省人民医院:关于全面停止门诊、急诊和发热门诊医疗服务的通知各位患者朋友：根据国务院联防联控机制派陕西工作组和陕西省疫情防控指挥部指令，我院被确定为新冠肺炎定点收治医院，从2022年1月1日17:30起，我院门诊、急诊、发热门诊全面停止医疗服务，启用时间另行通知。给您带来不便，敬请谅​,0,0,1,64
1018陕广新闻,微博官方认证,2022-01-01,【陕西发布疫情期间群众就医指南】1月1日，陕西省应对疫情领导小组医疗救治组、新闻宣传组联合发布疫情期间群众就医指南，现将内容公布如下：普通群众诊疗省卫生健康委每日在官网疫情防控医疗救治专栏，更新公布西安市内各三级医院运行状态，提供精准就医服务信息。西安市二级及以下医疗机构、西安​,9,0,9,145
郑州大民生,微博官方认证,2022-01-01,郑州市新冠肺炎疫情防控指挥部办公室紧急提醒12月31日，洛阳市新安县发现2名新冠肺炎无症状感染者，通过排查、检测，后又发现2名无症状感染者和4名初筛阳性病例。针对上述情况，为守护郑州市民的生命安全和身体健康，在此提醒广大市民朋友：1.有新安县旅居史的人员请立即报备。12月19日以来，有洛​,0,0,1,-1
胡扯鸡蛋,微博个人认证,2022-01-01,【#19名西安大学生研发疫情防控小程序#，以前3小时的任务现在只要3分钟】据西部决策报道，1月1日，陕西西安。19名@西北工业大学的学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序​,0,0,1,33
永州发布,微博官方认证,2022-01-01,1月1日，陕西西安。19名西北工业大学的学生共同开发了一款疫情防控小程序。#19名西安大学生研发疫情防控小程序#（D视频）L永州发布的微博视频​,1,0,17,33
看西藏V,微博官方认证,2022-01-01,#西安抗疫#【西安一房东免费为81位房客做饭：他们都是学生】#抗疫一盘棋全国一家亲#近日，陕西西安因疫情封控管理全部小区，西安雁塔区一房东免费为租住的81位房客分批做饭。据房东明先生介绍，这些房客都是一些学生，没来得及回家也不会做饭，封控了几天孩子实在扛不下去了。从27日开始，在遵守西​,0,0,0,119
陕西政法,微博官方认证,2022-01-01,【#19名西安大学生研发疫情防控小程序#：以前3小时的任务现在只要3分钟】1月1日，陕西西安。19名@西北工业大学的学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序为封闭在校的学生带​,2,1,6,33
陕西政法,微博官方认证,2022-01-01,#同心战疫陕西加油#【新年好，每一位奋斗者——老陕这一年】每一个黎明，都是新的开始。辞旧迎新的这一天。身处疫情暴风眼之中的我们有慌乱、有紧张，同时也有更多的期待和憧憬。2021年无数难忘的瞬间让老陕们有幸成为历史的见证者。新的一年，将继续赋予我们前行的勇气和力量。#一句话为陕西加油#​,0,0,1,1
陕西政法,微博官方认证,2022-01-01,#同心战疫陕西加油#【“00后”也挑起了一方责任和担当！】西安医学院的一名大一的学生志愿者小刘，在给封闭管理的同学们送完物资和热水后，开心地“飞起”～十八九岁的他们，脱掉大白服还是一名稚嫩的学生，穿上这身衣服，也挑起了一方责任和担当！好样的！#疫情就是命令防控就是责任#（记者：韩​,0,0,2,-1
陕西发布,微博官方认证,2022-01-01,【新年快乐！#医护人员在防疫一线比心送祝福#】#共克时艰陕西加油#12月31日，在西安曲江新区龙邸新区，“大白”们在防疫一线比心，祝西安市民新年快乐！物业综合部主管申先生用手机记录下了暖心时刻。据了解，医护人员每天要为小区6000名居民做核酸检测，也向他们道一声辛苦了！新年快乐，西安加油！​,2,4,26,-1
