nick,sig,date,text,forward,comment,like,topic
磕西皮会上瘾吖,未认证,2022-01-06,很气愤也很失望#陕西妇联回应孕妇在医院门口等2小时后流产##西安一男子连续被3家医院拒诊最终猝死#我能够理解是因为疫情期间情况特殊可是核酸检测结果真的就那么重要?难道核酸结果在这个特殊时期就能成为是否进行生命抢救的判断依据了吗？我不能否认工作者的辛苦及无私奉献但我同时也不能苟同这些​,0,2,4,112
珍惜当今,微博个人认证,2022-01-06,#郑州一医院2天接收约10位封控区产妇#同样是疫情发生地，面临的情况都是一样的紧急，都是需要防控加管控，河南郑州和陕西西安的对比高低可见。为什么在郑州就可以实现封控地区进行医院的有效对接，顺利入院；为什么西安就要等悲剧发生在会亡羊补牢？这个不是应该当地需要思考的问题吗？有没有把群​,1,39,250,156
青海日报官方微博,微博官方认证,2022-01-06,【青海省疾控中心发布健康提示】目前，国外疫情仍在高位运行，国内本土病例呈多点散发状态。春节将至，人员流动更加频繁，疫情输入的风险不断加大。为严防疫情输入，保障广大人民群众健康安全，省疾控中心健康提示如下：一、有以下情况人员，请立即主动向社区、单位、宾馆等报告，配合做好集中隔离、​,0,1,0,11
普陀山旅游咨询Mr顾,未认证,2022-01-06,普陀山旅游2022.1.6普陀山疫情防控温馨提醒：1.核验2天（48小时）内核酸检测阴性证明+14天日常健康监测：黑龙江省黑河市；广东省东莞市；陕西省西安市、延安市、咸阳市；河南省周口市、洛阳市、许昌市、郑州市；广西壮族自治区防城港市；云南省昆明市、西双版纳傣族自治州；浙江省宁波市北​,0,0,0,-1
小铁苏恩,未认证,2022-01-06,#西安一男子连续被3家医院拒诊最终猝死##西安网友称父亲心绞痛被拒诊耽误后离世##陕西妇联回应孕妇在医院门口等2小时后流产##西安又一孕妇流产警察护送被拒诊#疫情都发生两年了，西安zf真的没有借鉴到任何经验。估计经验的报告和文档应该交了不少。正因为爱西安，爱这片土地和人民，是求助，是无助​,0,3,0,112
观察者网,微博官方认证,2022-01-06,#西安作协主席回应斥女子哭求卫生巾是小姐作派#【怒斥哭求卫生巾的女子“小姐作派”，西安作协主席吴克敬：我从此一句话不说】“而有些人，同样也是女人，却让人想要诟病了呢……你自己有没有卫生巾，什么时候用卫生巾，自己一点都不清楚吗……疫情当前，什么矫情，什么小姐作派，是没有用的。”​,432,1890,18249,174
山西晚报,微博官方认证,2022-01-06,#疫情防控#【#非必要不出省#！加强个人防护！省疫情防控办发出#紧急提示#】近期，国内疫情仍然呈局部散发和规模性聚集并存特征，多条传播链同时存在，特别是毗邻我省的陕西和河南疫情仍未得到有效控制。1月5日0-24时，全国报告新增本土病例132例，河南新增64例，其中许昌市50例、郑州市5例、洛阳市4例​,0,1,1,-1
旅拍西安,未认证,2022-01-06,#陕西外婆印象向西安市民捐赠50吨蔬菜#【陕西外婆印象为西安抗疫捐赠50吨蔬菜】一方有难，八方支援。#西安疫情#1月4日，陕西外婆印象积极参与抗疫，将50吨蔬菜送到西安市防疫工作人员及市民手中。#西安加油#在疫情重创的餐饮环境下，外婆印象依然不忘社会责任，为奋战在抗疫一线的工作者贡献了一份绵​,1,1,3,45
陕西日报,微博官方认证,2022-01-06,【群众我来帮｜“寻医问药”求助通道，戳这里↓】为保障大家在疫情期间能够及时购药、就医，群众新闻网联系多家医药单位开通“寻医问药”通道，可实现在线诊疗、线上购药。此外，如您在疫情防控中遇到困难或问题，也可联系我们，我们全力帮您解决。#西安抗疫互助#​,3,0,1,-1
panplane,未认证,2022-01-06,"一场突发疫情,让身处他乡的关中人万分揪心。血浓于水的情感连接寄语了对家乡满满的牵挂，字字句句无不透露着思乡之情，相信西安城啊风雨过后是彩虹。因为疫情两年没有回家了。身在他乡，想起家乡的味道会泪流满面。人生在世，美食决不可辜负，无论我们身陷何种泥淖，只要还能好好吃饭，则没有过不​",0,0,0,-1
粤饭局,未认证,2022-01-06,【#西北大获捐6万枚鸡蛋全校免费吃#】1月5日，陕西西安。@西北大学收到一企业捐赠的爱心鸡蛋，据悉共有2000盒，计60000枚，价值15万元，会陆续发放给师生。细心的同学发现，鸡蛋上还有暖心话语：“护家园共长安”，希望疫情早日结束。L白鹿视频的微博视频@白鹿视频​,0,0,0,44
哥是好人,微博个人认证,2022-01-06,陕西“外婆印象”向西安市民捐赠50吨蔬菜，守望相助1月4日，陕西外婆印象党支部积极响应政府号召，在党支部的牵头带领下，将50吨蔬菜送到西安市防疫工作人员及市民手中。1月4日凌晨7点，装配车队经过严格消杀后开始按计划将蔬菜车，装满50吨蔬菜的12辆车从农产品市场出发，11点到达市区，外​,1,1,0,45
明天涮羊肉,微博个人认证,2022-01-06,#这次换我护你长安#小善意，大温暖。我在“温暖家园助力陕西抗击疫情”项目捐款成功！愿点滴之举温暖更多心灵。@中华救助http://t.cn/A6xF105q​,0,2,1,16
陕西国防工业技师学院团委,微博官方认证,2022-01-06,【一图了解↓封控区、管控区、防范区有什么区别？】#陕西疫情防控##共克时艰陕西加油#​,0,0,1,6
微观大秦,微博个人认证,2022-01-06,【#西安为什么采取严格管控措施#1分钟听专家解读】今天是西安封闭式管理第15天。国务院联防联控机制综合组陕西工作组流调溯源组组长雷正龙表示，采取严格管控措施，目的是内防蔓延，外防溢出，是必须和科学的措施。此外，雷正龙称“社会面清零”代表着疫情在社区传播的风险得到控制和消除，是动态清零​,1,1,1,19
文明西安,微博官方认证,2022-01-06,【莫慌！赶紧去查查这些车驾管业务延期该如何办理】#西安战疫众志成城#陕西省交警总队发布了《陕西省公安厅交警总队关于对受疫情影响的部分车驾管业务实行延期办理的通告》，小伙伴们可以根据自己办理车驾管业务的需求去对照相应业务在什么时候办理。L西安交警的微博视频​,0,0,0,-1
逍遥1234562017,未认证,2022-01-06,#抗击疫情央企行动#【中国联通无线容量动态调配系统为陕西抗疫贡献力量】,0,0,0,29
宋正梅66,未认证,2022-01-06,王老师心系农民工！特捐款100万救助向你致敬#陕西都市快报#西安疫情加油#西安加油##快手#@快手L森全能源的快手视频​,0,0,0,269
陕西发布,微博官方认证,2022-01-06,【西安#大四学生给母校捐5万个口罩#：家人非常支持】@西安工程大学机电工程学院大四学生王卓同学，在疫情期间，看着学校领导和老师以及志愿者们为了保障在校学生的生命安全而忙碌的身影，王卓和家人商量，决定采购并向学校捐赠防疫物资，家人们也非常支持。2022年新年第一天，王卓同学向学校捐赠​,1,4,66,150
陕西消费网,未认证,2022-01-06,守望相助，陕西“外婆印象”向西安市民捐赠50吨蔬菜2022年1月4日，陕西外婆印象党支部积极响应政府号召，在党支部的牵头带领下，将50吨蔬菜送到西安市防疫工作人员及市民手中。据了解，此次外婆印象党支部全体党员分别为张家村街道办事，长安路街道办事处，柏树林街道办事处，太乙路街道办事处，东​,1,1,1,45
896汽车调频,微博官方认证,2022-01-06,#我在西安抗击疫情#【#从抗癌厨房到抗疫厨房#】本轮疫情发生以来，这家原本开在陕西省肿瘤医院附近的爱心抗癌厨房，升级成为了抗疫厨房。主理人许凯召集30多位志愿者，每天免费做1000份爱心餐，送给一线抗疫人员和在附近看病滞留的患者。寒冬中，总有一些让我们感到温暖的人和事，让我们一起用爱心和行​,0,0,4,37
宁夏交通广播,微博官方认证,2022-01-06,#银川市疾控中心提醒请主动报备##984快报#　1月6月，银川市疾病预防控制中心发布提醒，目前，全球疫情仍呈大流行态势，新变异株出现，给疫情防控带来了新挑战，疫情不确定性进一步加剧。国内多地报告本土病例，防控形势复杂严峻。全市疫情防控面临境外境内双重风险，外防输入、内防反弹压力加大。春​,1,1,5,11
新浪湖北健康频道,微博官方认证,2022-01-06,【#西安孕妇流产事件相关责任人被处理#，#西安孕妇流产事件系责任事故#，#西安卫健委主任被党内警告#】据“西安发布”1月6日消息：近日西安高新医院发生一起孕产妇流产事件引起社会广泛关注，造成恶劣社会影响。1月5日，经陕西省、西安市卫生健康委组织专家进行调查，认定该事件是一起责任事故。西安​,0,0,2,146
小径湾房产销售小张,未认证,2022-01-06,作为陕西一个市民，虽然西安疫情严重，我们配合党和政府，待在家里，那也不去，除了做核酸就是家里，医院也不想想，疫情期间出去肯定都是有急事，一位孕妇你让夜黑风高等了两个小时，流产，迫于无奈去抢救，一位心脏病患者让等了8个小时，不幸去世。都说医者仁心，这样看来，医院没有任何疫情防控吗？​,0,0,0,112
刺猬小書房,未认证,2022-01-06,陕西省作协副主席、西安作协主席吴克敬批评此前引起舆论热议的“因卫生巾而向防疫人员哭诉”的一名西安女子，称“疫情当前，什么矫情，什么小姐做派，是没有用的”。文字真的读不下去啊……​,0,0,0,-1
三秦青年,微博官方认证,2022-01-06,【同心抗疫！#男志愿者花式做面条支持防疫工作#】#秦团战疫##肉夹馍一定行#近日，西安高新区新丰村，村委会委员何伟经常给村里一线防疫人员做饭。何伟介绍，自己是一名退伍军人，连日来和同事们坚守在抗疫一线。因为大家都住在办公室，外面的饭馆也关门，看到同事们吃了几天泡面，他便主动申请给大家​,4,3,7,-1
SMGNEWS,微博官方认证,2022-01-06,【#河南单日新增病例数超陕西#疫情已涉该省6地市】河南疫情出现了散发蔓延的趋势，在新增64例确诊病例当中，许昌50例、郑州5例、洛阳4例、周口3例、商丘和信阳各1例，9例无症状感染者，分别来自郑州和信阳，而信阳的感染者均在固始县，至此河南省本轮疫情已经涉及六地，流调的信息显示，固始和商丘两​,0,0,2,4
文化艺术报报社,微博官方认证,2022-01-06,【#西安疫情大规模反弹风险基本控制#】#西安防控效果正不断呈现#进入2022年新年以来，西安每日报告确诊病例数正在逐步下降。国务院联防联控机制综合组陕西工作组专家李群表示，目前西安疫情形势不断向好。虽然今后还仍然有可能发生病例，但是疫情大规模反弹的风险已经基本控制。李群认为，现在各项防​,1,0,0,18
南京老门探房,未认证,2022-01-06,明天继续鞠躬？国人不吃这套。#陕西妇联回应孕妇在医院门口等2小时后流产##西安疫情#​​​#西安网友称父亲心绞痛被拒诊耽误后离世#2南京​,0,1,10,112
大唐微记录,未认证,2022-01-06,#西安疫情#【外地打工者呼吁开具离开西安证明官方回应】据澎湃新闻报道：针对网民提出的“打工人希望办理离开西安证明”等需求，西安市雁塔区政府日前答复称，待防控级别降低后，立即办理离开西安的相关手续，已送去部分物资表达政府的关心和慰问。此前有网友于1月2日通过人民网领导留言板反映，“​,0,0,0,94
荣耀西安网,微博官方认证,2022-01-06,【守望相助陕西“外婆印象”“老版火锅”向西安市民捐赠50吨蔬菜】1月4日，装满50吨蔬菜的12辆车从农产品市场出发，送往张家村、红庙坡、中山门等街道防疫工作人员及市民手中。点滴爱心汇聚成江河，在社会各界的共同努力下，西安定能打胜这场疫情阻击战，驱散阴霾，春暖花开西安加油！​​​,0,0,2,45
蜜大舅鲁泳北,未认证,2022-01-06,我发布了：西安疫情巴菁日记疫情封闭管理的第9天#陕西西安为了疫情喊加油#陕西西安##快手#@快手L鲁院长的快手视频​,0,0,0,15
绿色青浦,微博官方认证,2022-01-06,【#陕西双胞胎姐妹花主动请战抗疫#都成了“最美逆行者”】陕西延安有一对“90后”双胞胎姐妹花宗凤倩和宗凤婧，她们同是医务工作者，同在这次抗击疫情中主动请战，直到进了一个工作群，才发现彼此都成了“最美逆行者”。而临行前，#父亲为抗疫双胞胎女儿作画#，更是表达出对女儿们的爱和关心。网​,0,0,0,-1
小野花-k,未认证,2022-01-06,#西安疫情##西安网友称父亲心绞痛被拒诊耽误后离世##西安孕妇就医难八个月胎儿胎死腹中##西安男子主动请求隔离未果一家6口全部确诊#西安这是怎么了这还是我认识的西安吗记忆里的西安非常美好城市的夜景接地气的生活氛围热情直爽的陕西人城市的良好治安深厚的文化底蕴各种各样的西安美食这里​,0,1,0,6
豫见校园儿,微博个人认证,2022-01-06,【#西安学生为封闭后勤捐600件换洗衣物#工作人员：衣服特别暖和】近日，陕西西安。因疫情防控，@西安明德理工学院诸多后勤餐厅工作人员需留校工作，面临换洗衣物不足等困难。同学们得知此事后，自发开展捐衣捐物活动，第一时间为工作人员们筹集到了600余件干净衣物。食堂阿姨收到衣物后称，同学​,0,0,0,44
豫见校园儿,微博个人认证,2022-01-06,#豫见最美校园#【#西北大获捐6万枚鸡蛋全校免费吃#】1月5日，陕西西安。@西北大学收到一企业捐赠的爱心鸡蛋，据悉共有2000盒，计60000枚，价值15万元，会陆续发放给师生。细心的同学发现，鸡蛋上还有暖心话语：“护家园共长安”，希望疫情早日结束。L白鹿视频的微博视频​​​,0,0,0,44
礼泉疾控,微博官方认证,2022-01-06,英雄再披甲长安必常安——记礼泉县疾控中心王超同志抗疫先进事迹破阵子·披甲再征战感怀王超再次支援新冠抗疫前线辛丑牛年庚月，古都疫魔嚣张。一千万百姓遭难，百余里电掣支援。披甲再征战。白日一线流调，夜晚点灯溯源。着银甲详询轨迹，脱战袍分析​,0,0,1,3
文化艺术报报社,微博官方认证,2022-01-06,【#西安非遗人创作面塑作品致敬最可爱的人#】近日，西安非遗传承人张倍源创作面塑作品集《最可爱的人》致敬抗疫工作者。#西安市疫情防控进入总攻阶段#，#一座城的抗疫是一群人的坚守#，疫情终将过去，期待你们凯旋。#陕西疫情防控#L西安文旅之声的微博视频via.西安文旅之声​​​,0,0,0,-1
医药导报,未认证,2022-01-07,【#专家解读西安本轮疫情处置难点#】陕西西安本轮疫情，来源于巴基斯坦航班输入的德尔塔毒株。截至2021年12月下旬，西安27个街道出现病例部分来源不明。多个街道、小区出现聚集性疫情，已发生社区传播并出现逐步扩散趋势。同时，#几个省份报告发现西安外溢病例#。时值春节前夕，做好本土疫情防控的同时​,0,0,0,13
青岛交警,微博官方认证,2022-01-07,【#专家解读西安本轮疫情处置难点#】陕西西安本轮疫情，来源于巴基斯坦航班输入的德尔塔毒株。截至2021年12月下旬，西安27个街道出现病例部分来源不明。多个街道、小区出现聚集性疫情，已发生社区传播并出现逐步扩散趋势。同时，#几个省份报告发现西安外溢病例#。时值春节前夕，做好本土疫情防控的同时​,0,0,1,13
中国乾县,微博官方认证,2022-01-07,#乾县身边事#近日，乾县红十字会收到了一笔1000元的爱心捐款，捐款来自于乾县籍秦腔名家郭军，他虽然身处西安，但时刻关心着家乡乾县的疫情防控工作。郭军，乾县漠西夹道村人，多年来他致力于秦腔戏曲工作，现为陕西省戏曲研究院秦腔团著名小生。​,1,0,4,47
网易财经,微博官方认证,2022-01-07,【#陕西允许符合条件快递小哥到岗工作#】1月6日，陕西省应对新型冠状病毒感染肺炎疫情工作领导小组办公室印发《关于安全有序做好当前邮政快递服务保障工作的紧急通知》。通知提出，对于所居住小区(社区)14日内无确诊病例，本人健康码为绿码且持有72小时两次核酸检测阴性证明的邮政、快递工作人员，经其​,0,0,1,222
肥唐说,微博个人认证,2022-01-07,【#西安现有确诊中11人未按要求核酸检测#】今天（1月7日）下午，陕西西安市召开疫情防控新闻发布会，介绍疫情防控最新情况。自2021年12月20日以来，市疫情防控指挥部连续发布开展核酸筛查工作的通告，要求居住在我市的全体人员主动参加核酸检测。近期疾控部门发现，全市现有确诊病例中，有11人在2021年​,0,0,2,46
岳阳日报,微博官方认证,2022-01-07,【#专家解读西安本轮疫情处置难点#】陕西西安本轮疫情，来源于巴基斯坦航班输入的德尔塔毒株。截至2021年12月下旬，西安27个街道出现病例部分来源不明。多个街道、小区出现聚集性疫情，已发生社区传播并出现逐步扩散趋势。同时，#几个省份报告发现西安外溢病例#。时值春节前夕，做好本土疫情防控的同时​,0,0,0,13
内蒙古日报,微博官方认证,2022-01-07,【#专家解读西安本轮疫情处置难点#】陕西西安本轮疫情，来源于巴基斯坦航班输入的德尔塔毒株。截至2021年12月下旬，西安27个街道出现病例部分来源不明。多个街道、小区出现聚集性疫情，已发生社区传播并出现逐步扩散趋势。同时，#几个省份报告发现西安外溢病例#。时值春节前夕，做好本土疫情防控的同时​,0,0,1,13
青岛交警,微博官方认证,2022-01-07,#西安不再查验就医人员48小时核酸阴性证明#【#西安将严查拒诊推诿患者行为#】7日下午，陕西西安市召开疫情防控新闻发布会，介绍疫情防控最新情况。西安本轮疫情以来，西安市卫健委全力做好疫情防控和新冠患者医疗救治工作。从1月1日以来，21家定点医院累计接诊涉疫患者2431人次，急诊急救143人次、血​,0,0,0,69
张红旗STDC,微博个人认证,2022-01-07,#西安不再查验就医人员48小时核酸阴性证明#【#西安将严查拒诊推诿患者行为#】7日下午，陕西西安市召开疫情防控新闻发布会，介绍疫情防控最新情况。西安本轮疫情以来，西安市卫健委全力做好疫情防控和新冠患者医疗救治工作。从1月1日以来，21家定点医院累计接诊涉疫患者2431人次，急诊急救143人次、血​,0,0,1,69
陕西健康,微博官方认证,2022-01-07,【西安今日公布新增有32人为4日公布确诊者的密接#专家解答西安1病例传染32人#德尔塔变异株传播力很强三种原因综合作用】今天（1月7日）公布的陕西（西安）新增57例本土确诊病例中，不少细心的市民注意到了一个细节——其中有32人为1月4日发布的同一确诊病例的密接者，这也意味着，这位4日发布的确诊​,0,1,1,110
吊顶哥张爱斌,微博个人认证,2022-01-07,最近疫情，很多快递和物流都发不出去了，新疆的快递，陕西物流，洛阳物流，。​,0,0,1,-1
陇南成县抛沙司法所,微博官方认证,2022-01-07,#西安不再查验就医人员48小时核酸阴性证明#【#西安将严查拒诊推诿患者行为#】7日下午，陕西西安市召开疫情防控新闻发布会，介绍疫情防控最新情况。,0,0,0,260
九州之声咨询,未认证,2022-01-07,【#菇农疫情无法运菜积压亏损近10万#：连成本都收不回来】1月5日，陕西咸阳。石先生今年投资了10万元种蘑菇，因疫情防控升级，运输车辆无法上高速，导致蘑菇积压。据石先生称，蘑菇日产百余筐，一筐10斤。蘑菇还无法与其他蔬菜同种，家里也没有别的收入。蘑菇寿命短，最多只能放3天，成本都没收​,0,0,0,20
诗亭菲嘉,微博个人认证,2022-01-07,#抗击疫情陕西在行动#与爱同路，让爱回家。我在“齐心抗疫共助陕西”项目捐款成功！愿我和@邓伦·益芯向北一起放大爱的力量！@中华思源工程扶贫基金会齐心抗疫共助陕西​,0,0,0,41
扎西德勒·天珠收藏,微博个人认证,2022-01-07,【#西安27个街道出现病例部分来源不明#】1月7日，陕西省西安市举行新闻发布会通报疫情防控工作情况。西安市疾控中心主任陈保忠表示，截至2021年12月下旬，西安已有10个区27个街道出现病例，并且有些病例来源不明。多个街道、小区出现聚集性疫情，说明已经发生社区传播并出现逐步扩散的趋势，而且有向更​,4,2,3,67
爱讲笑话的特长生,微博个人认证,2022-01-07,厉害了！1月6日，陕西西安，女子疫情在家花式锻炼，用羽毛球反手抽箱子👍#生活的可爱瞬间#L校园学霸君的微博视频​,0,0,0,-1
大庆市中级人民法院,微博官方认证,2022-01-07,#西安120急救热线扩容#【西安120急救热线扩容解决占线问题】#西安抽调100个急救车组确保急救运力#针对群众反映的疫情期间120急救热线经常出现占线问题，西安市对系统进行提升改造。目前，西安120已实现90个本地坐席受理，60个云端坐席受理，受理能力充足。西安市紧急抽调50名医务人员，增援西安急救中​,5,6,2,-1
金华这些事儿,微博个人认证,2022-01-07,【支持抗疫！#大一学生给学校捐赠一万四千斤蔬菜支持防疫#】1月6日，陕西西安，陕西服装工程学院信息工程学院大一学生陈欣悦捐赠学校一万四千斤蔬菜。陈欣悦表示，当看到防疫工作人员很辛苦时，便想着为防疫出一份力。在和家人联系后，父母非常支持她，立即采购了一万四千斤蔬菜，支持疫情防控工作。（​,0,0,0,42
Lao金的微博,未认证,2022-01-07,【#西安本轮疫情来源于巴基斯坦航班输入#，几省已发现西安外溢病例……】陕西西安本轮疫情，来源于巴基斯坦航班输入的德尔塔毒株。截至2021年12月下旬，西安27个街道出现病例部分来源不明。多个街道、小区出现聚集性疫情，已发生社区传播并出现逐步扩散趋势。同时，#几个省份报告发现西安外溢病例#。​,0,0,0,13
星弧权益,微博官方认证,2022-01-07,【#禹州最先暴发疫情陶瓷厂股东发声#】1月2日河南禹州一家陶瓷厂暴发疫情。2日，该市欧亚陶瓷厂发现首例病例。该厂一名股东介绍，首例病例是勤杂工，去医院看病时做核酸检测发现感染。该股东称，自己核酸阴性，经理已确诊，工厂全面停产员工均被隔离，该厂疫情源头尚未查清，唯一可疑的是曾从陕西购进​,0,0,0,-1
中新视频,微博官方认证,2022-01-07,【#西安27个街道出现病例部分来源不明#】1月7日，陕西省西安市举行新闻发布会通报疫情防控工作情况。西安市疾控中心主任陈保忠表示，截至2021年12月下旬，西安已有10个区27个街道出现病例，并且有些病例来源不明。多个街道、小区出现聚集性疫情，说明已经发生社区传播并出现逐步扩散的趋势，而且有向更​,8,10,43,67
李团夫人,未认证,2022-01-07,#西安抗疫日记#【一线快报：​八吨蔬菜慰问城市美容师】疫情以来，有这样一群人，他们坚守岗位，始终默默无闻地工作在第一线；他们从清晨到深夜，从街头到巷尾，保洁着城市的角角落落，他们就是城市美容师——保洁人员。保洁人员为城市保洁，干着最脏、最苦的活，还要配合防疫及时打扫核酸检测现场，​,0,0,0,81
用户3910728521,未认证,2022-01-07,#文艺实时报#今天（1月7日）下午，陕西西安市召开疫情防控新闻发布会，介绍疫情防控最新情况。据介绍，根据病毒测序结果，西安市本轮疫情来源于12月4日巴基斯坦航班输入的德尔塔毒株，据实验室检测发现，引起西安本轮疫情德尔塔毒株的CT值非常低，CT值是实验室检测的一个指标，数值越低，代表这个病​,0,0,0,13
宓穸穸,未认证,2022-01-07,陕西官员跟个没脑子似的，什么都喜欢一刀切疫情防控的时候不管病人的病情是否严重是否濒临死亡没有核酸证明就是不给进；现在出了人命，又一刀切所有就医人员不查验核酸证明，万一有阳性患者呢？整个医院都爆炸💥疫情防控相当于儿戏！到底有没有脑子？还是只为了自己的乌纱帽,0,0,2,43
兩儀家的葉子,未认证,2022-01-07,大家都平安早上上班的时候看行程码还带🌟，中午一点就没了，昆明都是低风险了🙏河南平安，陕西平安。🙏河南更困难，因为是多点爆发。不过从去年几次疫情和洪水来看，河南还是有能力的。,0,0,1,-1
陕西影视频道,微博官方认证,2022-01-07,陕西广电融媒体集团在陕西卫视、陕西一套、二套、三套电视频道同步推出“疫情就是命令防控就是责任”直播特别节目，每天7：00到8：00，10：00到13:00，16:00到21:00，三个时段9个小时持续报道我省坚决打赢疫情防控歼灭战的坚定信心和实际行动。您还可以通过央视频、央视新闻+、起点新闻、陕视新闻、​,2,0,1,137
绿幽灵潇潇,未认证,2022-01-07,陕西人，没有一个冬天是用“一碗面”不能逾越的，春天总会来“岐山臊子面”三七的五花肉，一瓶醋，一碗辣面儿，一张薄如纸的蛋饼和一碗手擀韭叶面，什么没有豆腐没有韭菜，这都不重要#不可辜负的美食##我的美食日记##美食分享##吃货在这里##好好吃饭##陕西美食#​,0,2,1,6
乐陵政法,微博官方认证,2022-01-07,【#专家解读西安本轮疫情处置难点#】陕西西安本轮疫情，来源于巴基斯坦航班输入的德尔塔毒株。截至2021年12月下旬，西安27个街道出现病例部分来源不明。多个街道、小区出现聚集性疫情，已发生社区传播并出现逐步扩散趋势。同时，#几个省份报告发现西安外溢病例#。时值春节前夕，做好本土疫情防控的同时​,0,0,0,13
阿叫拉诺,微博个人认证,2022-01-07,#西安不再查验就医人员48小时核酸阴性证明#【#西安将严查拒诊推诿患者行为#】7日下午，陕西西安市召开疫情防控新闻发布会，介绍疫情防控最新情况。西安本轮疫情以来，西安市卫健委全力做好疫情防控和新冠患者医疗救治工作。从1月1日以来，21家定点医院累计接诊涉疫患者2431人次，急诊急救143人次、血​,0,0,0,69
星弧权益,微博官方认证,2022-01-07,【#专家解读西安本轮疫情处置难点#】陕西西安本轮疫情，来源于巴基斯坦航班输入的德尔塔毒株。截至2021年12月下旬，西安27个街道出现病例部分来源不明。多个街道、小区出现聚集性疫情，已发生社区传播并出现逐步扩散趋势。同时，#几个省份报告发现西安外溢病例#。时值春节前夕，做好本土疫情防控的同时​,0,0,0,13
蓉光能量,未认证,2022-01-07,【西安：部分感染路径暂未找到明确的传播证据】陕西西安市召开疫情防控新闻发布会，介绍疫情防控最新情况。根据病毒测序结果，西安本轮疫情来源于12月4日巴基斯坦航班输入的德尔塔毒株，据实验室检测发现，引起西安本轮疫情德尔塔毒株的CT值非常低，CT值是实验室检测的一个指标，数值越低，代表这个病​,0,0,0,13
M张张包,未认证,2022-01-07,#陕西师范大学学科英语##333教育综合##908##考研##考研复试#23考研的学弟学妹需要辅导的可以私信我喔今年我辅导的学妹反映很好我压中了60分好开心嘻嘻嘻22考研复试需要辅导的学妹也可以私信喔西安因为疫情很可能会线上进行一些线上复试的要求我也可以告诉大家本人20届学科英语一战上岸有带​,0,1,0,70
公益时报,微博官方认证,2022-01-07,【#专家解读西安本轮疫情处置难点#】陕西西安本轮疫情，来源于巴基斯坦航班输入的德尔塔毒株。截至2021年12月下旬，西安27个街道出现病例部分来源不明。多个街道、小区出现聚集性疫情，已发生社区传播并出现逐步扩散趋势。同时，#几个省份报告发现西安外溢病例#。时值春节前夕，做好本土疫情防控的同时​,0,0,1,13
北仑小北,微博个人认证,2022-01-07,【#专家解读西安本轮疫情处置难点#】陕西西安本轮疫情，来源于巴基斯坦航班输入的德尔塔毒株。截至2021年12月下旬，西安27个街道出现病例部分来源不明。多个街道、小区出现聚集性疫情，已发生社区传播并出现逐步扩散趋势。同时，#几个省份报告发现西安外溢病例#。时值春节前夕，做好本土疫情防控的同时​,0,0,0,13
厦门大鹭网,未认证,2022-01-07,#西安不再查验就医人员48小时核酸阴性证明#【#西安将严查拒诊推诿患者行为#】7日下午，陕西西安市召开疫情防控新闻发布会，介绍疫情防控最新情况。西安本轮疫情以来，西安市卫健委全力做好疫情防控和新冠患者医疗救治工作。从1月1日以来，21家定点医院累计接诊涉疫患者2431人次，急诊急救143人次、血​,0,0,0,69
三秦零距离,微博个人认证,2022-01-07,【陕西首家唐都医院互联网医院“线上开方+药店线下配送”打通服务患者最后一公里】西安疫情期间，唐都医院打造全陕西省首家互联网医院“医院线上开方+药店线下配送”的样板工程，为慢性病患者及急需用药患者应急配送，服务“最后一公里”。2西安·紫禁长安L三秦零距离的微博视频​,0,0,0,-1
81615_愈守洁净工坊,未认证,2022-01-07,#这次换我护你长安#赠人玫瑰，手有余香。我在“温暖家园助力陕西抗击疫情”项目捐款成功！@中华救助http://t.cn/A6xF105q​,0,0,0,16
陕西卫视,微博官方认证,2022-01-07,【#沙画定格西安抗疫最受关注的三件事#：考试吃饭就医】从12月9日出现首例病例以来，西安本轮疫情持续已近一个月。疫情当前，生活也在继续，吃得上菜、考得上试和看得了病，是所有市民最关心的三件事。@陕西都市快报联手沙画师吴长宇，用沙画定格#西安抗疫期间最受关注的三件事#，看看哪一件给你感​,0,0,1,11
扎西德勒·天珠收藏,微博个人认证,2022-01-07,【#西安将严查拒诊推诿患者行为#】7日下午，陕西西安市召开疫情防控新闻发布会，介绍疫情防控最新情况。#西安不再查验就医人员48小时核酸阴性证明#西安本轮疫情以来，西安市卫健委全力做好疫情防控和新冠患者医疗救治工作。从1月1日以来，21家定点医院累计接诊涉疫患者2431人次，急诊急救143人次、血​,4,1,2,-1
从宇宙黑洞飞出火凤凰,微博个人认证,2022-01-07,【陕西、河南等地多措并举推进疫情防控工作】陕西、河南等地进一步强化疫情防控措施，全力做好民生保障工作。在西安，隔离点正加快建设，西安市雁塔区二号医学隔离点共有隔离房间1048间，首批288间于今天（1月7日）交付。医疗保障、健康监测、消杀等工作在各社区村庄推进。3651个党员服务队服务在​,0,0,0,-1
陕西卫视,微博官方认证,2022-01-07,【西安：集中隔离医学观察点保障隔离人员基本生活需求】1月7日下午，记者在西安疫情防控发布会(第49场)上了解到，为做好集中隔离医学观察点的医疗、疫情防控和被隔离人员的生活保障工作，西安市根据实际入住人数做好餐饮保障，尊重民族饮食习惯，加强隔离医学观察点食品卫生安全管理。提供非接触式送餐​,0,0,1,19
